token,n,logprob
rug,18.0,-8.160311876978229
obliged,32.0,-7.584947732074667
revolutionary,19.0,-8.106244655707954
franklin,17.0,-8.217470290818177
strongest,75.0,-6.733195521338083
vinayakjm,10.0,-8.748098541880347
balance,248.0,-5.537254888709412
buying,469.0,-4.900080866428114
loft,7.0,-9.10477348581908
forgot,132.0,-6.167881712288023
427,6.0,-9.25892416564634
rishabh,15.0,-8.342633433772184
booked,144.0,-6.0808703352983935
ajuste,6.0,-9.25892416564634
staple,9.0,-8.853459057538174
rewarded,10.0,-8.748098541880347
fulfilled,21.0,-8.006161197150972
rf,8.0,-8.971242093194558
tea,107.0,-6.3778548004124875
con,308.0,-5.320583851900819
promising,86.0,-6.596336338620886
singapore,96.0,-6.486335443406557
milestones,58.0,-6.990240624327974
advisable,8.0,-8.971242093194558
magento,23.0,-7.9151894189452445
montclair,7.0,-9.10477348581908
evans,7.0,-9.10477348581908
resham,8.0,-8.971242093194558
bank,443.0,-4.9571138648292585
jazzfunk,8.0,-8.971242093194558
atlanta,154.0,-6.013731032460765
preposition,7.0,-9.10477348581908
judge,50.0,-7.138660629446248
hid,10.0,-8.748098541880347
bests,8.0,-8.971242093194558
fascinating,60.0,-6.956339072652293
simulator,12.0,-8.565776985086394
ayuda,80.0,-6.668657000200512
nightlife,6.0,-9.25892416564634
manfred.ekale,10.0,-8.748098541880347
lados,6.0,-9.25892416564634
trunk,7.0,-9.10477348581908
technology,1079.0,-4.06689366961626
clave,7.0,-9.10477348581908
infringement,7.0,-9.10477348581908
grip,25.0,-7.831807810006193
efficacy,6.0,-9.25892416564634
stamped,7.0,-9.10477348581908
kingdom,42.0,-7.313014016591025
skyping,11.0,-8.652788362076024
epa,19.0,-8.106244655707954
636,17.0,-8.217470290818177
704,27.0,-7.754846768870065
bakeries,21.0,-8.006161197150972
eagerness,8.0,-8.971242093194558
ramirez,8.0,-8.971242093194558
utilizes,17.0,-8.217470290818177
finland,6.0,-9.25892416564634
transpersonal,10.0,-8.748098541880347
spare,203.0,-5.737477655832606
replaces,14.0,-8.411626305259135
avi,7.0,-9.10477348581908
bangkok,17.0,-8.217470290818177
rebrand,26.0,-7.792587096852912
orgánicos,6.0,-9.25892416564634
urge,40.0,-7.3618041807604575
tanto,23.0,-7.9151894189452445
kyra,17.0,-8.217470290818177
manuscripts,15.0,-8.342633433772184
pie,24.0,-7.872629804526448
differentiating,30.0,-7.649486253212238
19th,43.0,-7.289483519180831
mistakes,267.0,-5.4634349764741446
prospecting,24.0,-7.872629804526448
surrounding,61.0,-6.939809770701083
wing,23.0,-7.9151894189452445
773,29.0,-7.68338780488792
wichly,25.0,-7.831807810006193
grandes,10.0,-8.748098541880347
travis,29.0,-7.68338780488792
multimedia,37.0,-7.439765722230169
technique,58.0,-6.990240624327974
539,52.0,-7.099439916292966
joy's,12.0,-8.565776985086394
agency,475.0,-4.887368830839753
traveler,24.0,-7.872629804526448
xyz,15.0,-8.342633433772184
investable,13.0,-8.485734277412858
eventually,398.0,-5.0642316295899565
rt,8.0,-8.971242093194558
perspective,443.0,-4.9571138648292585
nervous,49.0,-7.158863336763767
duties,42.0,-7.313014016591025
ing,11.0,-8.652788362076024
strip,16.0,-8.278094912634613
peiheng,16.0,-8.278094912634613
entity,136.0,-6.138028749138342
ari,7.0,-9.10477348581908
teach,476.0,-4.885265780642974
bamboo,14.0,-8.411626305259135
busines,13.0,-8.485734277412858
par,55.0,-7.043350449641923
magnets,14.0,-8.411626305259135
emission,8.0,-8.971242093194558
counselor,94.0,-6.50738885260439
catholic,6.0,-9.25892416564634
pueden,29.0,-7.68338780488792
conedison,8.0,-8.971242093194558
halt,7.0,-9.10477348581908
precisely,56.0,-7.0253319441392446
increased,127.0,-6.206496548415802
correspond,45.0,-7.244021145104074
drawbacks,6.0,-9.25892416564634
peanut,8.0,-8.971242093194558
conrad,24.0,-7.872629804526448
sued,30.0,-7.649486253212238
implementations,8.0,-8.971242093194558
taproot,8.0,-8.971242093194558
3000.00,10.0,-8.748098541880347
semanas,9.0,-8.853459057538174
esta,99.0,-6.4555637847398035
hago,9.0,-8.853459057538174
timings,23.0,-7.9151894189452445
inroads,6.0,-9.25892416564634
coupon,36.0,-7.467164696418283
gilgamesh,6.0,-9.25892416564634
item,186.0,-5.8249369611611925
execution,190.0,-5.803659562713908
enlightening,13.0,-8.485734277412858
www.ted.com,7.0,-9.10477348581908
janitorial,13.0,-8.485734277412858
risk,393.0,-5.076874023005132
rupees,10.0,-8.748098541880347
bulb,8.0,-8.971242093194558
leaving,162.0,-5.96308729964201
setting,1093.0,-4.054002146697855
costume,19.0,-8.106244655707954
duty,48.0,-7.179482623966503
thumbs,7.0,-9.10477348581908
bore,9.0,-8.853459057538174
elevator,73.0,-6.760224193726002
sensing,6.0,-9.25892416564634
lenders,63.0,-6.907548908482861
remain,99.0,-6.4555637847398035
d'un,10.0,-8.748098541880347
loop,23.0,-7.9151894189452445
comunidades,7.0,-9.10477348581908
conditioner,9.0,-8.853459057538174
referring,103.0,-6.415954646644758
periselfcare,12.0,-8.565776985086394
barbershop,7.0,-9.10477348581908
relief,29.0,-7.68338780488792
compiling,22.0,-7.959641181516078
hilary,22.0,-7.959641181516078
simon,19.0,-8.106244655707954
illustrating,6.0,-9.25892416564634
abdel,8.0,-8.971242093194558
viewership,12.0,-8.565776985086394
drivers,47.0,-7.200536033164335
gindi,8.0,-8.971242093194558
fabricación,10.0,-8.748098541880347
wang,25.0,-7.831807810006193
607,21.0,-8.006161197150972
abajo,9.0,-8.853459057538174
jha,6.0,-9.25892416564634
pursuit,110.0,-6.350203269081978
lot's,13.0,-8.485734277412858
facial,6.0,-9.25892416564634
fiverr.com,17.0,-8.217470290818177
specialized,112.0,-6.332184763579299
ganas,11.0,-8.652788362076024
rapidly,65.0,-6.8762963649787565
jhonatan,14.0,-8.411626305259135
wendorf,28.0,-7.71847912469919
220,15.0,-8.342633433772184
dedicamos,6.0,-9.25892416564634
parlez,6.0,-9.25892416564634
kit,48.0,-7.179482623966503
racheal,11.0,-8.652788362076024
whos,8.0,-8.971242093194558
323,25.0,-7.831807810006193
winds,6.0,-9.25892416564634
outlined,67.0,-6.845991015483428
french,91.0,-6.539824128357544
shaka,41.0,-7.337111568170086
masses,20.0,-8.054951361320402
dept,45.0,-7.244021145104074
sep,8.0,-8.971242093194558
aún,19.0,-8.106244655707954
comprehensive,117.0,-6.288509700076638
ws,7.0,-9.10477348581908
disciplined,29.0,-7.68338780488792
hetrick,16.0,-8.278094912634613
3102,10.0,-8.748098541880347
jarvis,20.0,-8.054951361320402
sound,628.0,-4.608143468406195
sasidharan,10.0,-8.748098541880347
lbs,10.0,-8.748098541880347
anger,26.0,-7.792587096852912
mahesh,108.0,-6.368552407750174
posted,314.0,-5.30129064896614
refinance,11.0,-8.652788362076024
meetme.so,9.0,-8.853459057538174
plant,103.0,-6.415954646644758
owner,976.0,-4.167221048461301
revelation,16.0,-8.278094912634613
soybeans,15.0,-8.342633433772184
glue,7.0,-9.10477348581908
5am,9.0,-8.853459057538174
shops,224.0,-5.639037583019354
tiles,15.0,-8.342633433772184
monetize,91.0,-6.539824128357544
account,784.0,-4.386274614523986
512,12.0,-8.565776985086394
squash,7.0,-9.10477348581908
brother,81.0,-6.656234480201955
henrietta,11.0,-8.652788362076024
flatware,12.0,-8.565776985086394
oakland,11.0,-8.652788362076024
regard,246.0,-5.545352098942031
vimeo,12.0,-8.565776985086394
concert,10.0,-8.748098541880347
layout,73.0,-6.760224193726002
funeral,20.0,-8.054951361320402
crews,8.0,-8.971242093194558
happiest,8.0,-8.971242093194558
minimally,12.0,-8.565776985086394
ncirnigliaro,10.0,-8.748098541880347
mwansa,22.0,-7.959641181516078
bachelors,51.0,-7.118858002150068
workflows,9.0,-8.853459057538174
zesty,9.0,-8.853459057538174
eco,89.0,-6.562047265142254
fábio,6.0,-9.25892416564634
secrets,30.0,-7.649486253212238
nupur,11.0,-8.652788362076024
bio,320.0,-5.282362639080621
mason,34.0,-7.524323110258233
armin,8.0,-8.971242093194558
idaho,8.0,-8.971242093194558
ido,8.0,-8.971242093194558
buyout,6.0,-9.25892416564634
curve,110.0,-6.350203269081978
golden,31.0,-7.616696430389248
elated,6.0,-9.25892416564634
favorite,92.0,-6.528895057825354
accomplishments,81.0,-6.656234480201955
bags,70.0,-6.802188392825035
audacious,7.0,-9.10477348581908
fortalezas,7.0,-9.10477348581908
nationally,42.0,-7.313014016591025
reliable,110.0,-6.350203269081978
grateful,573.0,-4.699797918159654
cooperrider,18.0,-8.160311876978229
agriculture,125.0,-6.222369897572093
nicolyn,21.0,-8.006161197150972
4384,8.0,-8.971242093194558
bands,26.0,-7.792587096852912
amd,11.0,-8.652788362076024
gf,7.0,-9.10477348581908
distraction,8.0,-8.971242093194558
staffed,25.0,-7.831807810006193
factual,6.0,-9.25892416564634
cliches,9.0,-8.853459057538174
"120,000",6.0,-9.25892416564634
ahora,55.0,-7.043350449641923
cindy,32.0,-7.584947732074667
bloggers,56.0,-7.0253319441392446
guild,12.0,-8.565776985086394
stretched,29.0,-7.68338780488792
knocking,21.0,-8.006161197150972
asturias,7.0,-9.10477348581908
avaliable,9.0,-8.853459057538174
204,40.0,-7.3618041807604575
avec,38.0,-7.413097475148008
ambrish,6.0,-9.25892416564634
desk,64.0,-6.891800551514722
kudos,28.0,-7.71847912469919
painter,13.0,-8.485734277412858
9960,11.0,-8.652788362076024
sane,6.0,-9.25892416564634
beauty,275.0,-5.4339125372078225
clip,14.0,-8.411626305259135
ropes,39.0,-7.387121988744747
handling,99.0,-6.4555637847398035
bag,53.0,-7.080391721322272
festival,38.0,-7.413097475148008
explicit,10.0,-8.748098541880347
accountability,92.0,-6.528895057825354
columbia,25.0,-7.831807810006193
deepen,6.0,-9.25892416564634
grabbing,9.0,-8.853459057538174
twitter,402.0,-5.054231546255373
profitability,88.0,-6.573346820396187
на,8.0,-8.971242093194558
hesitation,19.0,-8.106244655707954
shy,42.0,-7.313014016591025
lane,13.0,-8.485734277412858
contractual,28.0,-7.71847912469919
mothers,51.0,-7.118858002150068
smeeta,28.0,-7.71847912469919
pmp,18.0,-8.160311876978229
asher,9.0,-8.853459057538174
daley,6.0,-9.25892416564634
cable,17.0,-8.217470290818177
operating,376.0,-5.1210944914845
brokers,78.0,-6.693974808184802
connections,328.0,-5.25767002649025
aromatic,9.0,-8.853459057538174
vaynerchuk,7.0,-9.10477348581908
planned,185.0,-5.830327809796069
undergoing,7.0,-9.10477348581908
belt,45.0,-7.244021145104074
life's,14.0,-8.411626305259135
legislation,8.0,-8.971242093194558
detalle,21.0,-8.006161197150972
perú,8.0,-8.971242093194558
owner’s,9.0,-8.853459057538174
082,6.0,-9.25892416564634
sumome,6.0,-9.25892416564634
tops,8.0,-8.971242093194558
corrupt,18.0,-8.160311876978229
75,68.0,-6.831175929698287
portland,152.0,-6.026803114028118
hug,11.0,-8.652788362076024
glow,10.0,-8.748098541880347
wie,6.0,-9.25892416564634
represent,114.0,-6.3144851864798985
99,39.0,-7.387121988744747
responsibility,128.0,-6.198653370954776
guarantee,107.0,-6.3778548004124875
mls,14.0,-8.411626305259135
clavin,6.0,-9.25892416564634
walsh,7.0,-9.10477348581908
aromatherapy,14.0,-8.411626305259135
usd,74.0,-6.746618541670224
carrier,22.0,-7.959641181516078
backers,24.0,-7.872629804526448
cleveland,7.0,-9.10477348581908
jacob,52.0,-7.099439916292966
concluding,6.0,-9.25892416564634
rossety,6.0,-9.25892416564634
mentoria,6.0,-9.25892416564634
grandparent,6.0,-9.25892416564634
medical,418.0,-5.015202202349638
discourage,31.0,-7.616696430389248
minnesota,59.0,-6.9731461909686745
"8,000",21.0,-8.006161197150972
goo.gl,29.0,-7.68338780488792
llegue,8.0,-8.971242093194558
implemented,103.0,-6.415954646644758
vocabulary,11.0,-8.652788362076024
breath,25.0,-7.831807810006193
marble,13.0,-8.485734277412858
wasiu,19.0,-8.106244655707954
dancers,18.0,-8.160311876978229
box,312.0,-5.307680447064912
obligations,43.0,-7.289483519180831
djc,6.0,-9.25892416564634
homberg,10.0,-8.748098541880347
eyelashes,7.0,-9.10477348581908
advantage,405.0,-5.046796567767855
classify,9.0,-8.853459057538174
unorganized,6.0,-9.25892416564634
university's,16.0,-8.278094912634613
585.412.3667,14.0,-8.411626305259135
cuenta,23.0,-7.9151894189452445
crossroads,15.0,-8.342633433772184
matter,529.0,-4.779695203016095
burned,22.0,-7.959641181516078
famine,6.0,-9.25892416564634
todas,21.0,-8.006161197150972
0.45,6.0,-9.25892416564634
sharina,28.0,-7.71847912469919
554,14.0,-8.411626305259135
vloggers,6.0,-9.25892416564634
muranome,15.0,-8.342633433772184
infob2blink,9.0,-8.853459057538174
vía,8.0,-8.971242093194558
truthful,6.0,-9.25892416564634
objectives,252.0,-5.521254547362971
supporter,8.0,-8.971242093194558
braiding,7.0,-9.10477348581908
messages,330.0,-5.251590980413868
tripping,7.0,-9.10477348581908
catalogs,9.0,-8.853459057538174
rooks,6.0,-9.25892416564634
george,166.0,-5.9386958465178505
ccna,14.0,-8.411626305259135
abhineet999,6.0,-9.25892416564634
indoor,28.0,-7.71847912469919
booklet,6.0,-9.25892416564634
barry,19.0,-8.106244655707954
axis,7.0,-9.10477348581908
arsal,31.0,-7.616696430389248
mindfulness,22.0,-7.959641181516078
nightclub,12.0,-8.565776985086394
problematic,17.0,-8.217470290818177
analyzing,79.0,-6.681235782407373
estimation,13.0,-8.485734277412858
advantageous,13.0,-8.485734277412858
sostenible,8.0,-8.971242093194558
milton,121.0,-6.254893089277653
snag,8.0,-8.971242093194558
49,15.0,-8.342633433772184
stall,24.0,-7.872629804526448
kathy,162.0,-5.96308729964201
324,23.0,-7.9151894189452445
stardom,13.0,-8.485734277412858
pager,11.0,-8.652788362076024
fleshed,10.0,-8.748098541880347
dhaval,30.0,-7.649486253212238
altogether,20.0,-8.054951361320402
delivering,108.0,-6.368552407750174
asesoramiento,8.0,-8.971242093194558
and.html,8.0,-8.971242093194558
logistics,222.0,-5.648006253002114
inquiries,59.0,-6.9731461909686745
jocelyn,6.0,-9.25892416564634
contaminated,12.0,-8.565776985086394
kal,9.0,-8.853459057538174
eva,21.0,-8.006161197150972
followup,21.0,-8.006161197150972
amber.fm.wright,18.0,-8.160311876978229
peut,9.0,-8.853459057538174
massively,15.0,-8.342633433772184
vinayak,167.0,-5.932689822457639
fry,6.0,-9.25892416564634
party,270.0,-5.452261675876019
rea,9.0,-8.853459057538174
apologise,46.0,-7.222042238385299
supplements,45.0,-7.244021145104074
abundance,15.0,-8.342633433772184
advertising,1237.0,-3.930239262481906
unbeatable,6.0,-9.25892416564634
kaprice,6.0,-9.25892416564634
modern,102.0,-6.425710821590123
ad,326.0,-5.2637862535076865
photography,183.0,-5.841197482032973
progresses,26.0,-7.792587096852912
blended,8.0,-8.971242093194558
"4,500",6.0,-9.25892416564634
imby,11.0,-8.652788362076024
seats,13.0,-8.485734277412858
receptive,30.0,-7.649486253212238
raving,6.0,-9.25892416564634
gens,7.0,-9.10477348581908
affirmative,9.0,-8.853459057538174
wrestling,10.0,-8.748098541880347
didnt,51.0,-7.118858002150068
diferentes,22.0,-7.959641181516078
hundreds,120.0,-6.2631918920923475
laptop,68.0,-6.831175929698287
turbo,9.0,-8.853459057538174
tentative,8.0,-8.971242093194558
stayed,15.0,-8.342633433772184
admire,138.0,-6.123429949717189
erick,33.0,-7.5541760734079135
joyce,46.0,-7.222042238385299
trader,29.0,-7.68338780488792
indrodip,9.0,-8.853459057538174
views,138.0,-6.123429949717189
landscapes,14.0,-8.411626305259135
adwords,161.0,-5.969279269889931
contenido,7.0,-9.10477348581908
emirates,23.0,-7.9151894189452445
conversar,24.0,-7.872629804526448
surprised,78.0,-6.693974808184802
windows,56.0,-7.0253319441392446
contents,51.0,-7.118858002150068
readings,9.0,-8.853459057538174
singers,8.0,-8.971242093194558
engaged,91.0,-6.539824128357544
pondering,21.0,-8.006161197150972
regularmente,6.0,-9.25892416564634
sais,9.0,-8.853459057538174
awkward,22.0,-7.959641181516078
manfred,249.0,-5.533230738409686
worst,78.0,-6.693974808184802
installers,9.0,-8.853459057538174
tiffany,98.0,-6.465716156203822
déjame,7.0,-9.10477348581908
kalinowski.com,9.0,-8.853459057538174
cookbook,10.0,-8.748098541880347
appeared,23.0,-7.9151894189452445
mhartstein,6.0,-9.25892416564634
accountable,110.0,-6.350203269081978
922,9.0,-8.853459057538174
naag,7.0,-9.10477348581908
portraits,26.0,-7.792587096852912
sbe9vv,18.0,-8.160311876978229
andra,11.0,-8.652788362076024
803,18.0,-8.160311876978229
575,9.0,-8.853459057538174
margret,12.0,-8.565776985086394
busniess,6.0,-9.25892416564634
watermelons,15.0,-8.342633433772184
pomerleau,6.0,-9.25892416564634
input,522.0,-4.793016046991755
allocated,14.0,-8.411626305259135
estimate,135.0,-6.145408856435965
sluggish,6.0,-9.25892416564634
terminate,9.0,-8.853459057538174
intrigues,6.0,-9.25892416564634
governments,33.0,-7.5541760734079135
spano,7.0,-9.10477348581908
poetry,16.0,-8.278094912634613
ethic,45.0,-7.244021145104074
newborn,17.0,-8.217470290818177
installation,61.0,-6.939809770701083
medium,251.0,-5.52523069574261
battery,16.0,-8.278094912634613
ello,10.0,-8.748098541880347
sticky,17.0,-8.217470290818177
fantastic,237.0,-5.582623493739263
nasty,9.0,-8.853459057538174
installed,38.0,-7.413097475148008
pacífico,7.0,-9.10477348581908
statistics,132.0,-6.167881712288023
satisfying,22.0,-7.959641181516078
managers,209.0,-5.708349382909582
flags,13.0,-8.485734277412858
researcher,18.0,-8.160311876978229
suffering,40.0,-7.3618041807604575
weightlifting,6.0,-9.25892416564634
dhhd,13.0,-8.485734277412858
poses,10.0,-8.748098541880347
blasts,14.0,-8.411626305259135
talks,97.0,-6.475972656371011
grains,8.0,-8.971242093194558
nakuru,28.0,-7.71847912469919
955,39.0,-7.387121988744747
handcrafted,19.0,-8.106244655707954
incomplete,14.0,-8.411626305259135
accomplishment,24.0,-7.872629804526448
exhausted,31.0,-7.616696430389248
cordialement,26.0,-7.792587096852912
oriented,117.0,-6.288509700076638
cycles,13.0,-8.485734277412858
pty,38.0,-7.413097475148008
incl,13.0,-8.485734277412858
organizational,86.0,-6.596336338620886
solution,590.0,-4.670561097974629
hoodie,8.0,-8.971242093194558
allowing,100.0,-6.445513448886302
sanity,19.0,-8.106244655707954
initial01,6.0,-9.25892416564634
greet,118.0,-6.279999010408729
bottler,12.0,-8.565776985086394
iwona,6.0,-9.25892416564634
markings,7.0,-9.10477348581908
gasoline,7.0,-9.10477348581908
respecting,7.0,-9.10477348581908
spreading,42.0,-7.313014016591025
procuring,11.0,-8.652788362076024
flu,15.0,-8.342633433772184
steven,95.0,-6.4968067432738525
billy,27.0,-7.754846768870065
chara,14.0,-8.411626305259135
failures,63.0,-6.907548908482861
definition,79.0,-6.681235782407373
faouzi,6.0,-9.25892416564634
inexpensive,66.0,-6.861028892847968
likes,134.0,-6.152843834923482
outgrown,8.0,-8.971242093194558
encourage,172.0,-5.903189158060941
shrithar,12.0,-8.565776985086394
borrower’s,10.0,-8.748098541880347
perspectiva,6.0,-9.25892416564634
friday,1391.0,-3.812905442950951
perspectives,30.0,-7.649486253212238
sought,34.0,-7.524323110258233
paragraphs,24.0,-7.872629804526448
forward,7711.0,-2.1002804750414334
omber,7.0,-9.10477348581908
mine,550.0,-4.740765356647877
vimeo.com,13.0,-8.485734277412858
daria,6.0,-9.25892416564634
inclusion,15.0,-8.342633433772184
difficulties,117.0,-6.288509700076638
transpose,8.0,-8.971242093194558
ljubljana,11.0,-8.652788362076024
humanity,14.0,-8.411626305259135
doesn’t,43.0,-7.289483519180831
chemistry,35.0,-7.49533557338498
scene,35.0,-7.49533557338498
tienen,32.0,-7.584947732074667
mario,26.0,-7.792587096852912
communicated,34.0,-7.524323110258233
religion,12.0,-8.565776985086394
não,6.0,-9.25892416564634
mascot,7.0,-9.10477348581908
whocherrylou,10.0,-8.748098541880347
swear,6.0,-9.25892416564634
xmas,10.0,-8.748098541880347
filmmaker,15.0,-8.342633433772184
authenticity,12.0,-8.565776985086394
policy,158.0,-5.988088601847427
getresponse,8.0,-8.971242093194558
multivitamins,6.0,-9.25892416564634
perfumes,10.0,-8.748098541880347
benefited,13.0,-8.485734277412858
soul,50.0,-7.138660629446248
prevented,7.0,-9.10477348581908
suny,10.0,-8.748098541880347
nearing,9.0,-8.853459057538174
lesson,66.0,-6.861028892847968
propia,18.0,-8.160311876978229
tienda,13.0,-8.485734277412858
retained,12.0,-8.565776985086394
numerous,125.0,-6.222369897572093
rochester.com,12.0,-8.565776985086394
www.atcohm.com,14.0,-8.411626305259135
ineffective,13.0,-8.485734277412858
empresarial,9.0,-8.853459057538174
existence,60.0,-6.956339072652293
studying,216.0,-5.675405227190229
donti,7.0,-9.10477348581908
kamal,9.0,-8.853459057538174
vans,9.0,-8.853459057538174
introductions,30.0,-7.649486253212238
sonya,24.0,-7.872629804526448
video,934.0,-4.211207196645551
gold,85.0,-6.6080323783840775
ludwig,7.0,-9.10477348581908
prototyping,30.0,-7.649486253212238
weeds,13.0,-8.485734277412858
wearable,8.0,-8.971242093194558
regulate,7.0,-9.10477348581908
stations,61.0,-6.939809770701083
www.gradbeni,9.0,-8.853459057538174
elaboración,6.0,-9.25892416564634
positives,9.0,-8.853459057538174
estrategias,12.0,-8.565776985086394
9345,8.0,-8.971242093194558
efficiency,99.0,-6.4555637847398035
weave,6.0,-9.25892416564634
timely,71.0,-6.788003757833079
mycerdia,6.0,-9.25892416564634
sustain,148.0,-6.053471361110279
duel,11.0,-8.652788362076024
través,19.0,-8.106244655707954
meeting,1318.0,-3.866812919811941
impact,442.0,-4.9593737527966955
processes,311.0,-5.310890722695159
potentially,250.0,-5.529222717012147
flag,15.0,-8.342633433772184
recognized,77.0,-6.70687821302071
therapists,27.0,-7.754846768870065
gabriyal,7.0,-9.10477348581908
comfy,8.0,-8.971242093194558
5k,32.0,-7.584947732074667
empresas,58.0,-6.990240624327974
fuse.net,11.0,-8.652788362076024
eluded,6.0,-9.25892416564634
478,10.0,-8.748098541880347
tremendously,68.0,-6.831175929698287
carve,34.0,-7.524323110258233
óscar,7.0,-9.10477348581908
doherty,7.0,-9.10477348581908
moon,16.0,-8.278094912634613
benjaminsmits,6.0,-9.25892416564634
outflows,9.0,-8.853459057538174
minimize,41.0,-7.337111568170086
www.bplans.com,26.0,-7.792587096852912
arab,34.0,-7.524323110258233
aivan,10.0,-8.748098541880347
liability,143.0,-6.087839004614486
vid,7.0,-9.10477348581908
t'aider,7.0,-9.10477348581908
ngo,100.0,-6.445513448886302
rented,41.0,-7.337111568170086
royalty,32.0,-7.584947732074667
maribeth,6.0,-9.25892416564634
dereck,20.0,-8.054951361320402
dubai,106.0,-6.387244540762326
loooking,8.0,-8.971242093194558
switched,28.0,-7.71847912469919
overlook,14.0,-8.411626305259135
pointless,7.0,-9.10477348581908
cual,48.0,-7.179482623966503
organizer,23.0,-7.9151894189452445
tobias,7.0,-9.10477348581908
rolls,9.0,-8.853459057538174
bangladesh,27.0,-7.754846768870065
esty,7.0,-9.10477348581908
enquire,7.0,-9.10477348581908
profile.php,12.0,-8.565776985086394
rocky,11.0,-8.652788362076024
pixels,8.0,-8.971242093194558
29,75.0,-6.733195521338083
4th,121.0,-6.254893089277653
spice,10.0,-8.748098541880347
columbus,14.0,-8.411626305259135
03,15.0,-8.342633433772184
castings,6.0,-9.25892416564634
effectively,373.0,-5.129105215230578
vacations,22.0,-7.959641181516078
internships,38.0,-7.413097475148008
516,62.0,-6.9235492498293025
statements,164.0,-5.9508172070501955
boston,167.0,-5.932689822457639
chain,262.0,-5.482339131113297
amrita,31.0,-7.616696430389248
wibbe,7.0,-9.10477348581908
industria,16.0,-8.278094912634613
curry,8.0,-8.971242093194558
ao,6.0,-9.25892416564634
vivek,26.0,-7.792587096852912
tengamos,6.0,-9.25892416564634
policies,72.0,-6.774017515858338
buisiness,18.0,-8.160311876978229
definetly,6.0,-9.25892416564634
dried,97.0,-6.475972656371011
equipments,11.0,-8.652788362076024
brian,603.0,-4.6487664381472085
possibility,188.0,-5.814241672044445
suffered,18.0,-8.160311876978229
jaime,26.0,-7.792587096852912
variant,6.0,-9.25892416564634
bediako,6.0,-9.25892416564634
scanned,7.0,-9.10477348581908
clicks,60.0,-6.956339072652293
queue,8.0,-8.971242093194558
personalities,32.0,-7.584947732074667
alejandra,13.0,-8.485734277412858
deed,9.0,-8.853459057538174
surveymonkey,7.0,-9.10477348581908
retrofitting,7.0,-9.10477348581908
momentum,58.0,-6.990240624327974
kinks,9.0,-8.853459057538174
summers,7.0,-9.10477348581908
clean,177.0,-5.8745339023005645
d'aide,10.0,-8.748098541880347
liesel,6.0,-9.25892416564634
smoother,12.0,-8.565776985086394
german,50.0,-7.138660629446248
unidos,11.0,-8.652788362076024
2013,150.0,-6.040048340778138
competitor,157.0,-5.994437829526086
kamaldeep,6.0,-9.25892416564634
captive,6.0,-9.25892416564634
salk,7.0,-9.10477348581908
insights,433.0,-4.979945906871904
tomorrow's,15.0,-8.342633433772184
investigando,7.0,-9.10477348581908
domestically,8.0,-8.971242093194558
renommé,9.0,-8.853459057538174
comprise,8.0,-8.971242093194558
mamkhele,9.0,-8.853459057538174
greenwich,6.0,-9.25892416564634
kavon,8.0,-8.971242093194558
emerging,88.0,-6.573346820396187
texting,29.0,-7.68338780488792
manon,26.0,-7.792587096852912
inbound,38.0,-7.413097475148008
vida,15.0,-8.342633433772184
physicians,31.0,-7.616696430389248
04,45.0,-7.244021145104074
arise,45.0,-7.244021145104074
sounding,136.0,-6.138028749138342
advancement,15.0,-8.342633433772184
ops,9.0,-8.853459057538174
translates,18.0,-8.160311876978229
internal,105.0,-6.39672328471687
measurable,27.0,-7.754846768870065
initiative,193.0,-5.787993445969509
differentiation,34.0,-7.524323110258233
crystal,77.0,-6.70687821302071
dean's,7.0,-9.10477348581908
governance,14.0,-8.411626305259135
oiro,7.0,-9.10477348581908
events,680.0,-4.528590836704241
teaches,27.0,-7.754846768870065
definitly,9.0,-8.853459057538174
catfish,77.0,-6.70687821302071
travez,9.0,-8.853459057538174
liburd,7.0,-9.10477348581908
dory,6.0,-9.25892416564634
yay,19.0,-8.106244655707954
westrick,6.0,-9.25892416564634
sharelle,10.0,-8.748098541880347
northern,58.0,-6.990240624327974
patients,99.0,-6.4555637847398035
translator,15.0,-8.342633433772184
unsuccessfully,7.0,-9.10477348581908
helmut,9.0,-8.853459057538174
ease,85.0,-6.6080323783840775
automates,9.0,-8.853459057538174
tank,55.0,-7.043350449641923
somos,8.0,-8.971242093194558
melinda,32.0,-7.584947732074667
showcasing,15.0,-8.342633433772184
footfall,7.0,-9.10477348581908
writting,8.0,-8.971242093194558
atentamente,24.0,-7.872629804526448
nutritionist,9.0,-8.853459057538174
eve,24.0,-7.872629804526448
studied,121.0,-6.254893089277653
preparatory,11.0,-8.652788362076024
tues,78.0,-6.693974808184802
lynne,13.0,-8.485734277412858
chocolate,69.0,-6.8165771302771345
rugs,8.0,-8.971242093194558
donation,34.0,-7.524323110258233
harry,37.0,-7.439765722230169
j'attend,8.0,-8.971242093194558
harassed,8.0,-8.971242093194558
remembering,6.0,-9.25892416564634
pragmatic,12.0,-8.565776985086394
je,98.0,-6.465716156203822
rally,8.0,-8.971242093194558
cantidad,15.0,-8.342633433772184
kyle,49.0,-7.158863336763767
2.30pm,9.0,-8.853459057538174
rct,6.0,-9.25892416564634
denied,9.0,-8.853459057538174
sankar,15.0,-8.342633433772184
periodically,14.0,-8.411626305259135
proponent,7.0,-9.10477348581908
craig,29.0,-7.68338780488792
diving,22.0,-7.959641181516078
examined,9.0,-8.853459057538174
